IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.113.47,443,443,TRUE,FRA,Europe,Frankfurt,200,6.58
84.235.162.32,443,443,TRUE,SIN,Asia Pacific,Singapore,245,6.56
193.122.61.236,443,443,TRUE,SIN,Asia Pacific,Singapore,267,6.56
132.226.130.115,443,443,TRUE,FRA,Europe,Frankfurt,210,6.56
143.47.177.51,443,443,TRUE,FRA,Europe,Frankfurt,246,6.55
158.101.223.10,443,443,TRUE,FRA,Europe,Frankfurt,300,6.53
129.159.204.133,443,443,TRUE,FRA,Europe,Frankfurt,236,6.51
84.235.175.252,443,443,TRUE,FRA,Europe,Frankfurt,338,6.49
158.179.207.182,2053,443,TRUE,OSL,Europe,Oslo,279,6.47
152.70.52.47,443,443,TRUE,FRA,Europe,Frankfurt,447,6.46
141.144.197.237,443,443,TRUE,FRA,Europe,Frankfurt,294,6.45
129.151.198.3,2053,443,TRUE,ARN,Europe,Stockholm,412,6.43
132.226.128.151,443,443,TRUE,FRA,Europe,Frankfurt,266,6.43
132.145.54.84,8443,443,TRUE,LHR,Europe,London,228,6.41
130.162.51.4,443,443,TRUE,FRA,Europe,Frankfurt,247,6.41
130.162.161.134,443,443,TRUE,FRA,Europe,Frankfurt,209,6.41
193.123.62.65,443,443,TRUE,FRA,Europe,Frankfurt,329,6.39
158.178.157.182,443,443,TRUE,SIN,Asia Pacific,Singapore,213,6.37
204.216.105.106,8443,8443,TRUE,YUL,North America,Montréal,300,6.37
138.2.135.224,443,443,TRUE,FRA,Europe,Frankfurt,238,6.36
79.72.86.81,443,443,TRUE,FRA,Europe,Frankfurt,250,6.35
158.178.153.80,2096,443,TRUE,AMS,Europe,Amsterdam,266,6.35
158.101.178.241,443,443,TRUE,FRA,Europe,Frankfurt,293,6.34
130.162.177.114,443,443,TRUE,FRA,Europe,Frankfurt,172,6.29
158.178.158.105,443,443,TRUE,FRA,Europe,Frankfurt,204,6.28
168.138.165.174,443,443,TRUE,SIN,Asia Pacific,Singapore,53,6.27
130.162.209.55,443,443,TRUE,FRA,Europe,Frankfurt,241,6.26
144.24.243.207,443,443,TRUE,ZRH,Europe,Zurich,362,6.25
141.147.113.177,443,443,TRUE,SIN,Asia Pacific,Singapore,299,6.25
138.2.151.253,443,443,TRUE,FRA,Europe,Frankfurt,358,6.24
68.233.127.163,8443,443,TRUE,YYZ,North America,Toronto,297,6.21
129.146.248.140,443,443,TRUE,LAX,North America,Los Angeles,290,6.2
141.148.225.92,443,443,TRUE,FRA,Europe,Frankfurt,309,6.2
141.145.205.115,8443,8443,TRUE,CDG,Europe,Paris,319,6.16
152.70.176.35,443,443,TRUE,FRA,Europe,Frankfurt,316,6.12
130.61.9.244,443,443,TRUE,SIN,Asia Pacific,Singapore,348,6.12
129.151.204.91,443,443,TRUE,ARN,Europe,Stockholm,390,6.07
138.2.149.233,443,443,TRUE,FRA,Europe,Frankfurt,283,6.01
130.162.42.13,443,443,TRUE,FRA,Europe,Frankfurt,206,5.99
79.72.70.142,443,443,TRUE,FRA,Europe,Frankfurt,271,5.97
141.147.62.114,443,443,TRUE,FRA,Europe,Frankfurt,219,5.96
141.147.115.176,443,443,TRUE,FRA,Europe,Frankfurt,332,5.95
152.67.149.136,443,443,TRUE,FRA,Europe,Frankfurt,402,5.92
144.24.161.142,8443,443,TRUE,FRA,Europe,Frankfurt,249,5.92
158.180.65.13,443,443,TRUE,ICN,Asia Pacific,Seoul,161,5.92
140.238.40.67,443,443,TRUE,NRT,Asia Pacific,Tokyo,163,5.91
130.61.170.78,443,443,TRUE,FRA,Europe,Frankfurt,307,5.9
138.2.166.3,443,443,TRUE,SIN,Asia Pacific,Singapore,226,5.86
143.47.241.61,443,443,TRUE,FRA,Europe,Frankfurt,219,5.85
168.138.46.67,443,443,TRUE,KIX,Asia Pacific,Osaka,165,5.84
141.147.101.84,443,443,TRUE,FRA,Europe,Frankfurt,286,5.83
158.101.15.48,443,443,TRUE,LAX,North America,Los Angeles,211,5.82
158.180.15.148,443,443,TRUE,FRA,Europe,Frankfurt,285,5.8
84.235.164.74,443,443,TRUE,FRA,Europe,Frankfurt,175,5.78
152.70.155.147,443,443,TRUE,LAX,North America,Los Angeles,338,5.76
141.147.163.68,443,443,TRUE,NRT,Asia Pacific,Tokyo,217,5.75
152.70.155.147,2087,2087,TRUE,LAX,North America,Los Angeles,319,5.74
168.138.201.0,443,443,TRUE,NRT,Asia Pacific,Tokyo,160,5.72
130.162.190.156,443,443,TRUE,FRA,Europe,Frankfurt,214,5.72
144.21.58.29,443,443,TRUE,FRA,Europe,Frankfurt,191,5.71
84.8.156.71,443,443,TRUE,SIN,Asia Pacific,Singapore,268,5.71
152.70.155.147,2083,2083,TRUE,LAX,North America,Los Angeles,265,5.68
141.144.225.203,443,443,TRUE,SIN,Asia Pacific,Singapore,261,5.66
129.159.22.4,443,443,TRUE,MAA,Asia Pacific,Chennai,79,5.64
158.180.14.252,443,443,TRUE,FRA,Europe,Frankfurt,212,5.58
150.230.118.181,443,443,TRUE,FRA,Europe,Frankfurt,207,5.57
193.122.127.19,2053,443,TRUE,ICN,Asia Pacific,Seoul,243,5.56
168.138.50.249,443,443,TRUE,KIX,Asia Pacific,Osaka,177,5.48
79.72.66.23,443,443,TRUE,FRA,Europe,Frankfurt,216,5.45
144.24.169.81,8443,443,TRUE,FRA,Europe,Frankfurt,371,5.43
152.70.155.147,2053,2053,TRUE,LAX,North America,Los Angeles,245,5.41
193.123.250.209,2087,2096,TRUE,ICN,Asia Pacific,Seoul,176,5.39
138.2.160.176,443,443,TRUE,FRA,Europe,Frankfurt,385,5.35
64.110.98.49,443,443,TRUE,KIX,Asia Pacific,Osaka,148,5.34
141.147.100.185,443,443,TRUE,FRA,Europe,Frankfurt,305,5.34
129.151.148.35,443,443,TRUE,DXB,Middle East,Dubai,107,5.32
158.180.49.106,443,443,TRUE,SIN,Asia Pacific,Singapore,379,5.31
150.136.240.243,443,443,TRUE,IAD,North America,Ashburn,282,5.27
140.238.58.181,2053,443,TRUE,NRT,Asia Pacific,Tokyo,125,5.26
129.154.46.115,443,443,TRUE,HYD,Asia Pacific,Hyderabad,177,5.26
152.70.71.23,443,443,TRUE,MRS,Europe,Marseille,188,5.24
64.110.104.30,443,443,TRUE,KIX,Asia Pacific,Osaka,161,5.23
192.9.180.162,443,443,TRUE,SYD,Oceania,Sydney,277,5.21
141.147.96.165,443,443,TRUE,FRA,Europe,Frankfurt,362,5.21
64.110.101.31,443,443,TRUE,KIX,Asia Pacific,Osaka,140,5.21
140.83.86.166,443,443,TRUE,KIX,Asia Pacific,Osaka,185,5.18
144.24.90.107,443,443,TRUE,ICN,Asia Pacific,Seoul,270,5.15
64.110.103.69,443,443,TRUE,KIX,Asia Pacific,Osaka,121,5.14
143.47.243.144,8443,443,TRUE,LHR,Europe,London,164,5.13
141.147.7.170,443,443,TRUE,FRA,Europe,Frankfurt,233,5.09
152.70.155.147,2096,2096,TRUE,LAX,North America,Los Angeles,335,5.09
141.147.62.26,443,443,TRUE,FRA,Europe,Frankfurt,315,5.05
129.159.241.172,443,443,TRUE,FRA,Europe,Frankfurt,178,5.02
152.70.155.147,8443,8443,TRUE,LAX,North America,Los Angeles,313,5.01
141.147.190.128,443,443,TRUE,NRT,Asia Pacific,Tokyo,140,4.97
141.147.114.14,443,443,TRUE,FRA,Europe,Frankfurt,312,4.95
129.151.158.84,80,80,FALSE,CDG,Europe,Paris,118,4.93
138.3.222.33,443,443,TRUE,NRT,Asia Pacific,Tokyo,255,4.92
152.67.231.219,443,443,TRUE,SJC,North America,San Jose,242,4.87
141.144.232.159,443,443,TRUE,FRA,Europe,Frankfurt,281,4.83
141.147.52.6,443,443,TRUE,FRA,Europe,Frankfurt,310,4.82
89.168.120.173,443,443,TRUE,FRA,Europe,Frankfurt,250,4.81
152.67.65.201,443,443,TRUE,ZRH,Europe,Zurich,213,4.79
141.148.229.106,443,443,TRUE,AMS,Europe,Amsterdam,268,4.77
152.70.147.64,443,443,TRUE,LAX,North America,Los Angeles,393,4.75
146.235.197.123,443,443,TRUE,SJC,North America,San Jose,177,4.73
143.47.242.195,443,443,TRUE,LHR,Europe,London,210,4.73
158.101.199.249,8443,443,TRUE,AMS,Europe,Amsterdam,301,4.72
84.235.169.234,443,443,TRUE,AMS,Europe,Amsterdam,196,4.72
152.70.69.199,443,443,TRUE,HYD,Asia Pacific,Hyderabad,53,4.71
207.127.94.174,443,443,TRUE,OSL,Europe,Oslo,327,4.71
155.248.202.141,443,443,TRUE,SJC,North America,San Jose,278,4.7
152.70.59.90,8443,443,TRUE,AMS,Europe,Amsterdam,363,4.66
193.122.61.167,443,443,TRUE,FRA,Europe,Frankfurt,254,4.65
152.67.78.184,443,443,TRUE,ZRH,Europe,Zurich,277,4.65
130.162.184.173,443,443,TRUE,LHR,Europe,London,224,4.61
217.142.243.226,443,443,TRUE,KIX,Asia Pacific,Osaka,265,4.57
152.70.88.98,443,443,TRUE,ICN,Asia Pacific,Seoul,283,4.55
129.146.47.72,443,443,TRUE,LAX,North America,Los Angeles,256,4.49
158.101.24.17,443,443,TRUE,LAX,North America,Los Angeles,234,4.46
155.248.196.123,443,443,TRUE,YVR,North America,Vancouver,285,4.45
129.146.168.102,443,443,TRUE,LAX,North America,Los Angeles,289,4.44
141.148.242.113,8443,443,TRUE,AMS,Europe,Amsterdam,207,4.42
129.146.242.24,2053,443,TRUE,LAX,North America,Los Angeles,266,4.41
146.235.219.98,443,443,TRUE,SJC,North America,San Jose,242,4.37
141.147.47.32,8443,443,TRUE,FRA,Europe,Frankfurt,338,4.35
141.147.44.0,443,443,TRUE,FRA,Europe,Frankfurt,300,4.33
129.159.130.38,443,443,TRUE,CDG,Europe,Paris,305,4.3
132.226.31.178,443,443,TRUE,LAX,North America,Los Angeles,244,4.28
150.230.47.3,443,443,TRUE,SJC,North America,San Jose,356,4.27
141.147.83.231,443,443,TRUE,FRA,Europe,Frankfurt,243,4.25
129.213.136.180,443,443,TRUE,IAD,North America,Ashburn,290,4.24
158.179.203.23,443,443,TRUE,OSL,Europe,Oslo,370,4.24
89.168.68.57,8443,443,TRUE,FRA,Europe,Frankfurt,203,4.2
144.24.200.164,443,443,TRUE,MRS,Europe,Marseille,272,4.17
141.147.79.216,443,443,TRUE,FRA,Europe,Frankfurt,296,4.17
129.80.123.71,443,443,TRUE,IAD,North America,Ashburn,303,4.14
